,饰品名,buff均价,steam市场价,利润,利率
0,AWP | 浮生如梦 (崭新出厂),36.160000000000004,55.91,12.457391304347823,0.3445075028857252
1,M4A4 | 龙王 (久经沙场),20.681,31.73,6.910304347826088,0.3341378244681634
2,M4A4 | 死寂空间 (久经沙场),21.205000000000002,32.44,7.00369565217391,0.3302851050306017
3,M4A4 | 皇家圣骑士 (久经沙场),23.966,36.57,7.834000000000003,0.32687974630726874
4,M4A1 消音型 | 印花集 (略有磨损),477.60200000000003,728.4,155.7893043478261,0.3261906448210562
5,M4A4 | 死寂空间 (崭新出厂),82.32000000000001,124.85,26.24521739130435,0.3188194532471374
6,AK-47 | 皇后 (破损不堪),91.467,138.72,29.159086956521747,0.3187935206852936
7,AWP | 浮生如梦 (久经沙场),20.381999999999998,30.89,6.478869565217394,0.3178721207544596
8,M4A4 | 二西莫夫 (战痕累累),183.349,276.72,57.2770869565218,0.31239377883992714
9,AK-47 | 阿努比斯军团 (久经沙场),58.98,88.8,18.23739130434783,0.30921314520766074
10,M4A1 消音型 | 机械工业 (崭新出厂),156.85,235.9,48.28043478260872,0.30781278152762975
11,M4A4 | 黑色魅影 (略有磨损),61.749,92.86,18.99882608695652,0.3076782795989655
12,AWP | 黑色魅影 (崭新出厂),169.398,254.73,52.10634782608696,0.30759718430020994
13,M4A1 消音型 | 次时代 (久经沙场),42.89,64.23,12.962173913043486,0.30221902338641843
14,AWP | 暴怒野兽 (久经沙场),122.689,183.73,37.07621739130437,0.3021967526942462
15,M4A4 | 喧嚣杀戮 (久经沙场),26.85,40.18,8.08913043478261,0.30127115213343053
16,AK-47 | 幻影破坏者 (崭新出厂),47.564,70.87,14.062086956521746,0.2956455923917615
17,AK-47 | 燃料喷射器 (破损不堪),257.95799999999997,384.35,76.2593913043479,0.2956271614152223
18,AK-47 | 霓虹骑士 (久经沙场),130.62,194.56,38.56260869565219,0.2952274436966176
19,AWP | 电子蜂巢 (略有磨损),154.04000000000002,229.32,45.3686956521739,0.29452541971029533
20,M4A1 消音型 | 神来之作 (久经沙场),231.58,344.18,67.70695652173916,0.2923696196637842
21,AWP | 珊瑚树 (略有磨损),46.345,68.81,13.489782608695663,0.2910730954514114
22,M4A4 | 死寂空间 (略有磨损),35.025,51.98,10.175000000000004,0.2905067808708067
23,AK-47 | 霓虹革命 (久经沙场),64.82900000000001,95.96,18.61447826086956,0.28713196657158924
24,AK-47 | 皇后 (久经沙场),105.1,155.42,30.04782608695652,0.2858974889339345
25,AWP | 浮生如梦 (略有磨损),27.292999999999996,40.31,7.759173913043487,0.2842917199664195
26,AK-47 | 霓虹革命 (略有磨损),97.27099999999999,143.62,27.615956521739164,0.28390739811186444
27,AWP | *嘣* (略有磨损),238.9,351.66,66.89130434782615,0.2799970881030814
28,M4A1 消音型 | 印花集 (崭新出厂),910.949,1339.37,253.72056521739125,0.27852334786842214
29,AK-47 | 前线迷雾 (略有磨损),86.29099999999998,126.85,24.01334782608697,0.2782833415545883
30,AK-47 | 前线迷雾 (久经沙场),52.71900000000001,77.45,14.628826086956522,0.27748679009382804
31,M4A4 | 喧嚣杀戮 (崭新出厂),100.239,147.23,27.787086956521733,0.27720834162872465
32,AK-47 | 皇后 (略有磨损),173.594,254.73,47.91034782608696,0.27599080513201474
33,AWP | 野火 (久经沙场),201.35,295.42,55.53695652173914,0.27582297751049983
34,M4A1 消音型 | 二号玩家 (久经沙场),91.086,133.56,25.053130434782616,0.2750491890606967
35,AK-47 | 深海复仇 (久经沙场),96.55999999999999,140.97,26.022608695652195,0.2694967760527361
36,AK-47 | 深海复仇 (崭新出厂),271.043,395.58,72.93960869565217,0.26910714792727414
37,M4A4 | 喧嚣杀戮 (略有磨损),40.968,59.78,11.014608695652178,0.26885883361775476
38,M4A1 消音型 | 二号玩家 (略有磨损),193.799,282.78,52.09665217391304,0.26881796177437983
39,AK-47 | 混沌点阵 (久经沙场),50.368,73.39,13.449391304347827,0.2670225401911497
40,AWP | 暴怒野兽 (略有磨损),209.04000000000002,304.32,55.58608695652174,0.26591124644336844
41,AWP | 死神 (略有磨损),13.65,19.86,3.6195652173913064,0.2651696129957001
42,AWP | 黑色魅影 (久经沙场),114.03800000000001,165.8,30.13591304347827,0.264262027074118
43,M4A4 | 活色生香 (久经沙场),41.1,59.72,10.830434782608698,0.26351422828731624
44,M4A1 消音型 | 毁灭者 2000 (崭新出厂),81.638,118.47,21.379391304347834,0.26188039031269544
45,M4A4 | 齿仙 (略有磨损),22.195999999999998,32.18,5.786608695652177,0.2607050232317615
46,M4A1 消音型 | 次时代 (崭新出厂),88.376,128.08,22.997913043478277,0.2602280375155956
47,M4A4 | 二西莫夫 (久经沙场),531.35,769.87,138.10217391304354,0.25990810936867137
48,M4A4 | 皇帝 (略有磨损),142.7,206.75,37.0826086956522,0.2598641113920967
49,M4A1 消音型 | 梦魇 (久经沙场),36.5,52.82,9.4304347826087,0.2583680762358548
50,M4A1 消音型 | 印花集 (战痕累累),181.98000000000002,263.24,46.92434782608697,0.25785442260735775
51,AWP | 无畏战神 (略有磨损),97.09,140.26,24.875217391304346,0.25620782151925375
52,M4A1 消音型 | 印花集 (久经沙场),276.6,399.57,70.85217391304349,0.25615391870225407
